class,comment,contract,mutant,SLOC,line,operator,status,notes,details
4,0,MultiSigWallet_fbd121,45,366,230,ESD,Killed by output,Ok,replacing 'Execution(transactionId)' by true suppresses an event.
4,0,MultiSigWallet_fbd121,23,366,232,ITSCR,Not killed,New test needed,replacing transactionId by transactionCount in 'ExecutionFailure(transactionId)' suppresses an event but the emit statement is located in a branch of a conditional that is never executed by the current test.
4,0,MultiSigWallet_fbd121,42,366,249,AOR,Killed by output,Ok,replacing += by -= in 'count += 1' causes the wrong value to be returned by the isConfirmed method, which in turn causes executeTransaction to emit the wrong event.
4,0,MultiSigWallet_fbd121,13,366,250,BOR,Killed by output and gas,Ok,replacing == by <= in 'if (count == required)'. Rest as #42.
4,0,MultiSigWallet_fbd121,14,366,269,ESD,Killed by output,Ok,replacing 'transactions[transactionId] = Transaction({ destination: destination, value: value, data: data, executed: false })' by true breaks the administration of the transactions.
4,0,MultiSigWallet_fbd121,40,366,275,ESD,Killed by output,Ok,replacing 'transactionCount += 1' by true. Rest a #14.
4,0,MultiSigWallet_fbd121,8,366,276,ESD,Killed by output,Ok,replacing 'Submission(transactionId)' by true suppresses an event.
4,0,MultiSigWallet_fbd121,32,366,290,ESD,Killed by output,Ok,replacing i++ by true in 'for (uint i=0; i<owners.length; i++)' causes an end-less loop and raises an exception.
4,0,MultiSigWallet_fbd121,33,366,304,BOR,Killed by output,Ok,replacing < by > in 'for (uint i=0; i<transactionCount; i++)' causes getTransactionCount to return the wrong value.
4,0,MultiSigWallet_fbd121,18,366,305,BOR,Killed by output,Ok,replacing || by && in ' if (   pending && !transactions[i].executed || executed && transactions[i].executed)'. rest as #33.
4,0,MultiSigWallet_fbd121,39,366,334,ITSCR,Killed by output,Ok,replacing L-Value count by transactionId in 'count += 1' causes getConfirmations to return the wrong value.
4,0,MultiSigWallet_fbd121,47,366,334,ESD,Killed by output,Ok,replacing 'count += 1' by true. rest as #39.
4,0,MultiSigWallet_fbd121,36,366,337,BOR,Killed by output,Ok,replacing < by <= in 'for (i=0; i<count; i++)'. rest as #39.
4,0,MultiSigWallet_fbd121,43,366,338,ITSCR,Killed by output,Ok,replacing L-Value _confirmations by confirmationsTemp in '_confirmations[i] = confirmationsTemp[i]'. rest as #39.
4,0,MultiSigWallet_fbd121,46,366,338,ITSCR,Killed by output,Ok,replacing i in the L-Value by MAX_OWNER_COUNT in '_confirmations[i] = confirmationsTemp[i]'. rest as #39.
4,0,MultiSigWallet_fbd121,11,366,347,VDTSCS,Not killed,New test needed,swapping pending and executed in 'function getTransactionIds(uint from, uint to, bool pending, bool executed)' should change the output of the enclosing function getTransactionIds but with the current test that does not happen.
4,0,MultiSigWallet_fbd121,2,366,357,BOR,Not killed,New test needed,replacing || by && in '|| executed && transactions[i].executed'. rest as #11.
4,0,MultiSigWallet_fbd121,28,366,359,ITSCR,Killed by output,Ok,replacing  L-Value transactionIdsTemp by _transactionIds in 'transactionIdsTemp[count] = i' changes the output of getTransactionIds.
4,0,MultiSigWallet_fbd121,10,366,364,ESD,Killed by output,Ok,replacing '_transactionIds[i - from] = transactionIdsTemp[i]' by true. rest as #28.
4,0,MultiSigWallet_fbd121,38,366,364,BOR,Not killed,New test needed,replacing - by * in '_transactionIds[i - from] = transactionIdsTemp[i]' should change the output of the enclosing function getTransactionIds but with the current test this does not happen.
4,0,MultiSigWallet_fbd121,17,366,364,ITSCR,Not killed,New test needed,replacing from by i in '_transactionIds[i - from] = transactionIdsTemp[i]'. As #38.
4,0,MultiSigWallet_fbd121,20,366,364,ITSCR,Killed by output,Ok,replacing x by y in '_transactionIds[i - from] = transactionIdsTemp[i]' changes the output of the enclosing function getTransactionIds.
